Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
584         Receive:       078E     76 F2                   2018\5\10\16:08:08:618
585         Send:          070E     36 F3 FF FF FF FF FF    2018\5\10\16:08:08:644
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
586         Receive:       078E     76 F3                   2018\5\10\16:08:08:723
587         Send:          070E     36 F4 FF FF FF FF FF    2018\5\10\16:08:08:748
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
588         Receive:       078E     76 F4                   2018\5\10\16:08:08:834
589         Send:          070E     36 F5 FF FF FF FF FF    2018\5\10\16:08:08:863
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
590         Receive:       078E     76 F5                   2018\5\10\16:08:08:951
591         Send:          070E     36 F6 FF FF FF FF FF    2018\5\10\16:08:08:977
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF          
592         Receive:       078E     76 F6                   2018\5\10\16:08:09:61
593         Send:          070E     36 F7 FF FF FF FF FF    2018\5\10\16:08:09:87
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
                                    FF FF FF FF FF FF FF 
